time cases distance yhat t
1 16.68 7 560 21.7080843225639 -1.69562881071159
2 11.5 3 220 10.3536145532406 0.357537640251461
3 12.03 3 340 12.0797937039063 -0.0157217736042149
4 14.88 4 80 9.95564608807307 1.63916490850938
5 13.75 6 150 14.1943983471799 -0.138564933734427
6 18.11 7 330 18.3995742837879 -0.0887372767959971
7 8 2 110 7.155376454521 0.264647686541441
8 17.83 7 210 16.6733951331221 0.359389825378901
9 79.24 30 1460 71.8202937965701 4.31078011875982
10 21.5 5 605 19.1235870828451 0.806775844370585
11 40.33 16 688 38.0925069787574 0.70993905990571
12 21 10 215 21.5930408962276 -0.188974510362242
13 13.5 4 255 12.472990682794 0.318469239932995
14 19.75 6 462 18.682464138911 0.334177247231103
15 24 9 448 23.328798203161 0.20566324273111
16 29 10 776 29.6629284255901 -0.21782566174508
17 15.35 6 200 14.9136396599573 0.134923995998433
18 19 7 132 15.5513786851893 1.11933065082343
19 9.5 3 36 7.7068065222197 0.569814202758992
20 35.1 17 770 40.8879699423216 -1.99667656931015
21 17.9 10 140 20.5141789270615 -0.873086970487743
22 52.32 26 810 56.0065278880268 -1.4896247320075
23 18.75 9 450 23.3575678556721 -1.48246717966257
24 19.83 8 635 24.4028535023393 -1.54221512244316
25 10.75 4 150 10.9625839259614 -0.0659633163307027
